NO. REGISTER || ENROLMENT || FATHER LASTNAME || MOTHER LASTNAME || NAME(S) ||  AGE  ||     GENDER     ||
         275 ||    326530 ||        CONTRERAS ||            YEPIZ ||      JONH ||         49 ||    MASCULINO ||
         276 ||    326539 ||          MORALES ||            NUNEZ ||      GOKU ||         33 ||    MASCULINO ||
         277 ||    326691 ||            YEPIZ ||             SOTO || MASIOSARE ||         18 ||    MASCULINO ||
         278 ||    326721 ||        CONTRERAS ||             SOTO ||  KAKAROTO ||         19 ||    MASCULINO ||
         279 ||    326734 ||           TORRES ||             SOTO || KASSANDRA ||         43 ||     FEMENINO ||
         280 ||    326761 ||             SOTO ||            PEREZ ||  KAKAROTO ||         46 ||    MASCULINO ||
         281 ||    326852 ||           GARCIA ||             SOTO ||    ALICIA ||         36 ||     FEMENINO ||
         282 ||    326857 ||            YEPIZ ||           TORRES ||   PANFILA ||         50 ||     FEMENINO ||
         283 ||    326888 ||           TORRES ||          MORALES ||   VEGUETA ||         42 ||    MASCULINO ||
         284 ||    326953 ||            YEPIZ ||          MORALES ||      GOKU ||         27 ||    MASCULINO ||
         285 ||    327172 ||           GARCIA ||           GARCIA || KASSANDRA ||         46 ||     FEMENINO ||
         286 ||    327221 ||             SOTO ||          MORALES ||     PEDRO ||         18 ||    MASCULINO ||
         287 ||    327256 ||             SOTO ||          MORALES ||     EDRAD ||         29 ||    MASCULINO ||
         288 ||    327331 ||            LOPEZ ||             SOTO ||     GOHAN ||         32 ||    MASCULINO ||
         289 ||    327409 ||           TORRES ||            LOPEZ ||   PANFILA ||         31 ||     FEMENINO ||
         290 ||    327661 ||           TORRES ||        CONTRERAS ||    JOFREY ||         43 ||    MASCULINO ||
         291 ||    327696 ||            PEREZ ||            YEPIZ || MASIOSARE ||         37 ||    MASCULINO ||
         292 ||    327754 ||            NUNEZ ||        CONTRERAS ||      ROSA ||         54 ||     FEMENINO ||
         293 ||    327780 ||           ACOSTA ||           TORRES || KASSANDRA ||         50 ||     FEMENINO ||
         294 ||    327863 ||            YEPIZ ||            YEPIZ ||    BRENDA ||         41 ||     FEMENINO ||
         295 ||    327950 ||           TORRES ||        CONTRERAS ||     PEDRO ||         30 ||    MASCULINO ||
         296 ||    327968 ||           ACOSTA ||            YEPIZ ||     GOHAN ||         20 ||    MASCULINO ||
         297 ||    328100 ||            NUNEZ ||            YEPIZ ||     PEDRO ||         42 ||    MASCULINO ||
         298 ||    328300 ||        CONTRERAS ||            YEPIZ || MASIOSARE ||         30 ||    MASCULINO ||
         299 ||    328373 ||        CONTRERAS ||            NUNEZ ||   PANFILA ||         21 ||     FEMENINO ||
         300 ||    328562 ||        CONTRERAS ||            YEPIZ ||     REYNA ||         34 ||     FEMENINO ||
         301 ||    328636 ||          MORALES ||           TORRES ||     REYNA ||         47 ||     FEMENINO ||
         302 ||    328710 ||        CONTRERAS ||            NUNEZ ||      ROSA ||         27 ||     FEMENINO ||
         303 ||    328800 ||             SOTO ||            LOPEZ ||  CRISTINA ||         16 ||     FEMENINO ||
         304 ||    328965 ||            LOPEZ ||           GARCIA ||      ROSA ||         42 ||     FEMENINO ||
         305 ||    329153 ||            PEREZ ||             SOTO ||   VEGUETA ||         43 ||    MASCULINO ||
         306 ||    329256 ||        CONTRERAS ||             SOTO || MASIOSARE ||         19 ||    MASCULINO ||
         307 ||    329585 ||        CONTRERAS ||        CONTRERAS || MASIOSARE ||         52 ||    MASCULINO ||
         308 ||    329684 ||           TORRES ||           GARCIA ||      LUNA ||         31 ||     FEMENINO ||
         309 ||    329768 ||            YEPIZ ||           TORRES ||    JOFREY ||         47 ||    MASCULINO ||
         310 ||    330020 ||            LOPEZ ||            YEPIZ ||     MARIA ||         34 ||     FEMENINO ||
         311 ||    330306 ||            LOPEZ ||        CONTRERAS || MASIOSARE ||         25 ||    MASCULINO ||
         312 ||    330401 ||           ACOSTA ||            PEREZ ||     EDRAD ||         50 ||    MASCULINO ||
         313 ||    330748 ||            PEREZ ||           GARCIA ||     PEDRO ||         42 ||    MASCULINO ||
